,value,date,keyword_id,keyword
0,0,2007-01-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
1,0,2007-02-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
2,0,2007-03-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
3,0,2007-04-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
4,0,2007-05-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
5,0,2007-06-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
6,0,2007-07-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
7,0,2007-08-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
8,0,2007-09-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
9,0,2007-10-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
10,0,2007-11-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
11,0,2007-12-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
12,0,2008-01-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
13,0,2008-02-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
14,0,2008-03-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
15,0,2008-04-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + K01KGX6V6CXR2CTH3TQF
