,value,date,KeywordID,Language,Keyword
0,0,2004-01-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
1,0,2004-02-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
2,0,2004-03-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
3,100,2004-04-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
4,0,2004-05-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
5,0,2004-06-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
6,0,2004-07-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
7,0,2004-08-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
8,0,2004-09-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
9,0,2004-10-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
10,0,2004-11-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
11,0,2004-12-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
12,0,2005-01-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
13,0,2005-02-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
14,0,2005-03-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
15,0,2005-04-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
16,0,2005-05-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
17,35,2005-06-01,2,PL,paszport Niemcy + paszport biometryczny Niemcy + urząd paszportowy Niemcy + biuro paszportowe Niemcy
