,value,date,keyword_id,keyword
0,0,2007-01-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
1,0,2007-02-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
2,0,2007-03-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
3,0,2007-04-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
4,0,2007-05-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
5,0,2007-06-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
6,0,2007-07-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
7,0,2007-08-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
8,0,2007-09-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
9,0,2007-10-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
10,0,2007-11-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
11,0,2007-12-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
12,0,2008-01-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
13,0,2008-02-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
14,0,2008-03-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
15,0,2008-04-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
16,0,2008-05-01,2,útlevél németország + útlevél-kiállító hatóság németország + pass deutschland + passbehörde deutschland + passport germany + passport office germany + 0VRWZPZ3D0DRC4MXN6LC
